,Postal Code,Department,Neighborhood,Nei_lat,Nei_lng
0,HT4110,Artibonite,Gonaïves,19.4460597,-72.6884336
1,HT4111,Artibonite,Petite Rivière de l’Artibonite,19.1229828,-72.4799806
2,HT4120,Artibonite,Ennery,19.4845825,-72.4849369
3,HT4130,Artibonite,L'Estère,19.3031502,-72.610203
4,HT4210,Artibonite,Gros Morne,19.6716098,-72.6783922
5,HT4220,Artibonite,Terre-Neuve,19.6007001,-72.7815744
6,HT4230,Artibonite,Anse-Rouge,19.6320067,-73.0550684
7,HT4231,Artibonite,Sources Chaudes,19.588877,-72.9020967077305
8,HT4310,Artibonite,Saint-Marc,19.1020269,-72.699511
9,HT4311,Artibonite,Montrouis,18.9594536,-72.6972331
10,HT4320,Artibonite,Verrettes,19.0507554,-72.4673576
11,HT4321,Artibonite,Désarmes,18.9948195,-72.3913419
12,HT4322,Artibonite,Deschapelles,19.0748942,-72.4907084
13,HT4323,Artibonite,Liancourt,19.1263141,-72.54091
14,HT4410,Artibonite,Dessalines (Marchand-Dessalines),19.2613129,-72.5170223
15,HT4420,Artibonite,Petite-Rivière-de-l’Artibonite,19.1229828,-72.4799806
16,HT4421,Artibonite,Savane à Roches,19.0106124,-72.3674271
17,HT4430,Artibonite,Grande-Saline,19.2460589,-72.7737935
18,HT4440,Artibonite,Desdunes,19.295496,-72.6460478
19,HT4510,Artibonite,Marmelade,19.5174077,-72.3619143
20,HT4520,Artibonite,Saint-Michel-de-l’Attalaye,19.3740271,-72.3332126
21,HT5110,Centre,Hinche,19.1445541,-72.0087527
22,HT5111,Centre,Los Palis,19.1422151,-71.9395085
23,HT5120,Centre,Maïssade,19.1747677,-72.139556
24,HT5121,Centre,Louverture,18.579012300000002,-72.29606501465122
25,HT5130,Centre,Thomonde,19.0170164,-71.9597698
26,HT5140,Centre,Cerca-Carvajal,19.2700414,-71.9405503
27,HT5210,Centre,Mirebalais,18.8344163,-72.104836
28,HT5211,Centre,Dufailly,18.4961647,-74.2870951
29,HT5220,Centre,Saut-d’Eau,18.8161576,-72.2004256
30,HT5230,Centre,Boucan-Carré,18.9245347,-72.147497
31,HT5231,Centre,Péligre,18.9022642,-72.038372
32,HT5310,Centre,Lascahobas,18.8298821,-71.9358047
33,HT5320,Centre,Belladère,18.8660303,-71.7636303
34,HT5321,Centre,Baptiste,18.6300779,-74.2925794
35,HT5330,Centre,Savanette,18.744765,-71.8202381
36,HT5410,Centre,Cerca-la-Source,19.1657748,-71.7911698
37,HT5411,Centre,Saltadère,19.1345879,-71.7349078
38,HT5412,Centre,Lamielle,19.2428949,-71.7287096
39,HT5420,Centre,Thomassique,19.0800337,-71.8418812
40,HT7110,Grand'Anse,Jérémie,18.510915949999998,-74.15784267540445
41,HT 711,Grand'Anse, Léon,18.5399053,-74.1171628
42,HT 711,Grand'Anse, Marfranc,18.5820571,-74.2183029
43,HT7120,Grand'Anse,Abricots,18.6485883,-74.3092199
44,HT7130,Grand'Anse,Bonbon,18.63153665,-74.23855839589967
45,HT7140,Grand'Anse,Moron,18.4882322,-74.1118213
46,HT7141,Grand'Anse,Sources Chaudes,18.4828761,-74.2874497
47,HT7150,Grand'Anse,Chambellan,18.5506065,-74.3134066
48,HT7210,Grand'Anse,Anse-d’Hainault,18.4858731,-74.4519539
49,HT7220,Grand'Anse,Dame-Marie,18.561306,-74.4189848
50,HT7221,Grand'Anse,Cesson,18.5969136,-74.4008307
51,HT7230,Grand'Anse,Les Irois,18.4036923,-74.4523414
52,HT7231,Grand'Anse,Carcasse,18.3720351,-74.446569
53,HT7310,Grand'Anse,Corail,18.8152242,-71.8800368
54,HT7320,Grand'Anse,Roseaux,18.5991539,-74.0168271
55,HT7330,Grand'Anse,Beaumont,18.4781785,-73.9577326
56,HT7340,Grand'Anse,Pestel,18.5421268,-73.7920612
57,HT7410,Nippes,Miragoâne,18.4448425,-73.0886392
58,HT7411,Nippes,Saint-Michel-du-Sud,18.3753359,-73.1104928
59,HT7412,Nippes,Paillant,18.418411,-73.1430002
60,HT7413,Nippes,Fonds-des-Nègres,18.3587761,-73.2411257
61,HT7420,Nippes,Petite-Rivière-de-Nippes,18.475928,-73.2410494
62,HT7510,Nippes,Anse-à-Veau,18.4595162,-73.35232366434994
63,HT7520,Nippes,Baradères,18.4829408,-73.6387023
64,HT7521,Nippes,Grand-Boucan,18.5543125,-73.5918256
65,HT7530,Nippes,Petit-Trou-de-Nippes,18.5259646,-73.5080865
66,HT7540,Nippes,L’Asile,18.3844086,-73.4144363
67,HT1110,Nord,Cap-Haïtien (la ville),19.7595236,-72.2008068
68,HT1111,Nord,Bande-du-Nord (quartier du Cap),19.7669,-72.2080611
69,HT1112,Nord,Labadie (quartier du Cap),18.4020872,-72.8839974
70,HT1113,Nord,Haut-du-Cap (quartier du Cap),19.723938,-72.223021
71,HT1114,Nord,Petite-Anse,19.7367195,-72.1832343
72,HT1120,Nord,Quartier-Morin,19.6971782,-72.1578267
73,HT1130,Nord,Limonade,19.670388,-72.1241998
74,HT1210,Nord,Acul-du-Nord,19.6822529,-72.3184496
75,HT1211,Nord,La Soufrière,19.66878,-72.3887943
76,HT1220,Nord,Plaine-du-Nord,19.6762399,-72.2692602
77,HT1221,Nord,Robillard,19.6133551,-72.2594313
78,HT1230,Nord,Milot,19.6078961,-72.21479
79,HT1231,Nord,Carrefour-des-Pères,19.6845032,-72.2053716
80,HT1310,Nord,Grande-Rivière-du-Nord,19.5778207,-72.1693457
81,HT1320,Nord,Balan,19.732037,-72.186627
82,HT1410,Nord,Saint-Raphaël,19.4392971,-72.1993956
83,HT1420,Nord,Dondon,19.5274372,-72.2427229
84,HT1430,Nord,Ranquitte,19.413191,-72.0834325
85,HT1440,Nord,Pignon,19.3370907,-72.1158319
86,HT1450,Nord,La Victoire,19.3370332,-72.0257794
87,HT1510,Nord,Borgne,19.8451211,-72.5228609
88,HT1511,Nord,Petit-Bourg-de-Borgne,19.722847049960126,-72.44128540037309
89,HT1517,Nord,Côte-de-Fer et Fond,18.24161935,-72.95384323434605
90,HT1520,Nord,Port-Margot,19.7518727,-72.4293463
91,HT1521,Nord,Bayeux,19.8082858,-72.433496
92,HT1522,Nord,Margot,19.7518727,-72.4293463
93,HT1610,Nord,Limbé,19.7064096,-72.4029292
94,HT1611,Nord,Camp-Coq,19.6345685,-72.42505993552685
95,HT1620,Nord,Bas-Limbé,19.7700443,-72.3831701
96,HT1710,Nord,Plaisance,19.5981376,-72.4704457
97,HT1720,Nord,Pilate,19.6643482,-72.5560459
